myhome_id,myhome_name,myhome_sub,ss_id,ss_name,ss_sub,score,method
"7890","გოგიბერიძე მ. ქ.","დიღმის მასივი","706","გოგიბერიძის ქ.","ჩუღურეთი",86,District
"357","გორის შესახვევი","დიდუბე","638","გორის ქ.","დიდუბე",100,SubDistrict
"336","ნ. გოგოლის ქ.","ჩუღურეთი","1165","გოგოლის ქ.","ჩუღურეთი",100,SubDistrict
"338","გოთუას შესახვევი","საბურთალო","1088","გოთუას ქ.","საბურთალო",100,SubDistrict
"359","გორკის შესახვევი","ჩუღურეთი","708","გორკის ქ.","ჩუღურეთი",100,SubDistrict
"361","გორკის II ჩიხი","ჩუღურეთი","708","გორკის ქ.","ჩუღურეთი",100,SubDistrict
"750","იყალთოს გორის ქ.","საბურთალო","1400","იყალთოს ქუჩა","საბურთალო",100,SubDistrict
"341","გომარეთის შესახვევი","ნაძალადევი","444","გომარეთის ქ.","ნაძალადევი",100,SubDistrict
"352","გორგასალის I ჩიხი","ორთაჭალა","328","გორგასლის ქ.","ორთაჭალა",82,SubDistrict
"6446","გოძიაშვილის I შეს.","ვაშლიჯვარი","61","გოძიაშვილის I შეს.","ვაშლიჯვარი",100,SubDistrict
"6448","გოძიაშვილის I ჩიხ.","ვაშლიჯვარი","64","გოძიაშვილის ქ.","ვაშლიჯვარი",100,SubDistrict
"6449","გოძიაშვილის I შეს.","ვაშლიჯვარი","61","გოძიაშვილის I შეს.","ვაშლიჯვარი",100,SubDistrict
"6451","გოძიაშვილის V ჩიხ.","ვაშლიჯვარი","64","გოძიაშვილის ქ.","ვაშლიჯვარი",100,SubDistrict
"349","გორგასალის შესახვევი","ორთაჭალა","328","გორგასლის ქ.","ორთაჭალა",93,SubDistrict
"1501","ქვემო გომის ჩიხი","სოლოლაკი","1051","იერუსალიმის ქ.","სოლოლაკი",100,Geospatial
"6447","გოძიაშვილის II ჩიხ.","ვაშლიჯვარი","64","გოძიაშვილის ქ.","ვაშლიჯვარი",100,SubDistrict
"6452","გოძიაშვილის VI ჩიხ.","ვაშლიჯვარი","64","გოძიაშვილის ქ.","ვაშლიჯვარი",100,SubDistrict
